Project_ID,Name,Category,Email
1,lauraali725's Project 1,machine learning,laura.ali47@yahoo.com
2,aidenkowalski256's Project 1,machine learning,aiden.kowalski16@yahoo.com
3,aidenkowalski256's Project 2,analytics,aiden.kowalski16@yahoo.com
4,mohamedsingh433's Project 1,machine learning,mohamed.singh34@protonmail.com
5,mohamedsingh433's Project 2,machine learning,mohamed.singh34@protonmail.com
6,aidentanaka869's Project 1,field research,aiden.tanaka24@yahoo.com
7,aidenpark969's Project 1,machine learning,aiden.park43@icloud.com
8,aidenpark969's Project 2,field research,aiden.park43@icloud.com
9,aidenjones637's Project 1,analytics,aiden.jones77@yahoo.com
10,aidenjones637's Project 2,field research,aiden.jones77@yahoo.com
11,rajreyes244's Project 1,machine learning,raj.reyes25@gmail.com
12,rajreyes244's Project 2,analytics,raj.reyes25@gmail.com
13,junlee358's Project 1,analytics,jun.lee17@protonmail.com
14,sofiasmith110's Project 1,machine learning,sofia.smith28@icloud.com
15,sofiasmith110's Project 2,analytics,sofia.smith28@icloud.com
16,ivandubois252's Project 1,field research,ivan.dubois86@gmail.com
17,jamesmartin839's Project 1,machine learning,james.martin19@icloud.com
18,jamesmartin839's Project 2,analytics,james.martin19@icloud.com
19,masonsingh982's Project 1,field research,mason.singh73@yahoo.com
20,masonsingh982's Project 2,machine learning,mason.singh73@yahoo.com
21,alijones55's Project 1,analytics,ali.jones52@gmail.com
22,meiali823's Project 1,field research,mei.ali9@icloud.com
23,miathomas775's Project 1,field research,mia.thomas17@icloud.com
24,miathomas775's Project 2,machine learning,mia.thomas17@icloud.com
25,meipark118's Project 1,machine learning,mei.park33@outlook.com
26,alipark432's Project 1,field research,ali.park89@hotmail.com
27,leilakim778's Project 1,field research,leila.kim48@icloud.com
28,loganwalker126's Project 1,analytics,logan.walker67@outlook.com
29,fatimankosi789's Project 1,machine learning,fatima.nkosi32@protonmail.com
30,amarajackson908's Project 1,field research,amara.jackson42@icloud.com
31,amarajackson908's Project 2,field research,amara.jackson42@icloud.com
32,zoemoreno490's Project 1,analytics,zoe.moreno11@outlook.com
33,zoereyes173's Project 1,analytics,zoe.reyes37@hotmail.com
34,zoereyes173's Project 2,analytics,zoe.reyes37@hotmail.com
35,jacksonwhite811's Project 1,field research,jackson.white69@icloud.com
36,leiladavis516's Project 1,machine learning,leila.davis31@outlook.com
37,leiladavis516's Project 2,analytics,leila.davis31@outlook.com
38,miawalker102's Project 1,analytics,mia.walker14@protonmail.com
39,miawalker102's Project 2,field research,mia.walker14@protonmail.com
40,ninathomas802's Project 1,machine learning,nina.thomas44@yahoo.com
41,ninathomas802's Project 2,analytics,nina.thomas44@yahoo.com
42,saramartin143's Project 1,field research,sara.martin51@icloud.com
43,alilee351's Project 1,analytics,ali.lee15@hotmail.com
44,alilee351's Project 2,machine learning,ali.lee15@hotmail.com
45,fatimankosi176's Project 1,machine learning,fatima.nkosi95@hotmail.com
46,isabelladubois510's Project 1,field research,isabella.dubois47@hotmail.com
47,miawilson317's Project 1,field research,mia.wilson12@gmail.com
48,lucaswilliams28's Project 1,machine learning,lucas.williams54@hotmail.com
49,amarankosi102's Project 1,analytics,amara.nkosi17@icloud.com
50,amarankosi102's Project 2,machine learning,amara.nkosi17@icloud.com
51,avataylor23's Project 1,field research,ava.taylor37@gmail.com
52,avataylor23's Project 2,analytics,ava.taylor37@gmail.com
53,hannahthompson825's Project 1,machine learning,hannah.thompson64@hotmail.com
54,hannahthompson825's Project 2,field research,hannah.thompson64@hotmail.com
55,loganlopez446's Project 1,machine learning,logan.lopez1@outlook.com
56,ivannkosi738's Project 1,analytics,ivan.nkosi21@icloud.com
57,ivannkosi738's Project 2,machine learning,ivan.nkosi21@icloud.com
58,ethanwilliams925's Project 1,field research,ethan.williams60@icloud.com
59,ethanwilliams925's Project 2,field research,ethan.williams60@icloud.com
60,isabellajohnson168's Project 1,field research,isabella.johnson75@protonmail.com
61,isabellajohnson168's Project 2,field research,isabella.johnson75@protonmail.com
62,sofiawhite820's Project 1,machine learning,sofia.white98@hotmail.com
63,sofiawhite820's Project 2,machine learning,sofia.white98@hotmail.com
64,weimuller985's Project 1,field research,wei.muller27@outlook.com
65,mateobrown654's Project 1,machine learning,mateo.brown98@outlook.com
66,emmadubois875's Project 1,machine learning,emma.dubois78@yahoo.com
67,sofiagarcia966's Project 1,field research,sofia.garcia21@hotmail.com
68,sofiagarcia966's Project 2,analytics,sofia.garcia21@hotmail.com
69,oliverdubois401's Project 1,machine learning,oliver.dubois74@protonmail.com
70,oliverdubois401's Project 2,analytics,oliver.dubois74@protonmail.com
71,fatimachen707's Project 1,field research,fatima.chen80@gmail.com
72,carloswilson782's Project 1,machine learning,carlos.wilson74@yahoo.com
73,carloswilson782's Project 2,field research,carlos.wilson74@yahoo.com
74,tariqtaylor618's Project 1,field research,tariq.taylor1@yahoo.com
75,tariqtaylor618's Project 2,machine learning,tariq.taylor1@yahoo.com
76,jacksondavis778's Project 1,analytics,jackson.davis60@hotmail.com
77,jacksondavis778's Project 2,machine learning,jackson.davis60@hotmail.com
78,loganwilliams901's Project 1,analytics,logan.williams1@gmail.com
79,loganwilliams901's Project 2,machine learning,logan.williams1@gmail.com
80,alimartinez403's Project 1,field research,ali.martinez38@yahoo.com
81,amarakowalski891's Project 1,field research,amara.kowalski26@gmail.com
82,amarakowalski891's Project 2,field research,amara.kowalski26@gmail.com
83,ivantaylor270's Project 1,field research,ivan.taylor80@outlook.com
